Name,reason,rows,severity
dim_purchase_order_line,Optional Column (nullable) is missing in input,1,30
dim_purchase_order_line,value not present in dim_plant_part[plant_part_id],27307,5
dim_purchase_order_line,value not present in dim_purchase_order[purchase_order_id],38664,5
dim_customer_order_line,value not present in dim_plant_part[plant_part_id],13,5
dim_plant_part,value not present in dim_part[part_id],148816,5
dim_plant_part,value not present in dim_plant[plant_id],39,5
dim_stock,value not present in dim_plant_part[plant_part_id],6276836,5
dim_stock_transfer_order,value not present in dim_plant_part[plant_part_id],8711,5
dim_supplier_shipment,value not present in dim_purchase_order[purchase_order_id],388,5
dim_supplier_shipment_part,value not present in dim_plant_part[plant_part_id],6623,5
dim_supplier_shipment_part,value not present in dim_purchase_order[purchase_order_id],388,5
dim_work_order_serial_number,value not present in dim_work_order[work_order_id],463,5
