IOU Thresholds,video_id,frame,TP,FN,FP,UnmatchedFP,LocA,HOTA,AssA,AssRe,AssPr,DetA,DetRe,DetPr,OWTA,IDF1
0.1000,,,645,260,3687,407,0.6046,0.1522,0.1649,0.8530,0.1782,0.1405,0.7127,0.1489,0.3428,0.2463
0.2000,,,645,260,3687,407,0.6046,0.1522,0.1649,0.8530,0.1782,0.1405,0.7127,0.1489,0.3428,0.2463
0.3000,,,644,261,3688,407,0.6051,0.1518,0.1644,0.8514,0.1778,0.1402,0.7116,0.1487,0.3420,0.2459
0.4000,,,593,312,3739,407,0.6253,0.1382,0.1496,0.7865,0.1637,0.1277,0.6552,0.1369,0.3131,0.2265
0.5000,,,468,437,3864,407,0.6718,0.1065,0.1156,0.6087,0.1329,0.0981,0.5171,0.1080,0.2445,0.1787
0.6000,,,311,594,4021,407,0.7332,0.0686,0.0745,0.4050,0.0893,0.0631,0.3436,0.0718,0.1600,0.1188
0.7000,,,175,730,4157,407,0.7978,0.0381,0.0419,0.2307,0.0521,0.0346,0.1934,0.0404,0.0900,0.0668
0.8000,,,80,825,4252,407,0.8602,0.0180,0.0209,0.1221,0.0250,0.0155,0.0884,0.0185,0.0430,0.0306
0.9000,,,17,888,4315,407,0.9276,0.0037,0.0043,0.0284,0.0052,0.0033,0.0188,0.0039,0.0090,0.0065
