Variable,Description
GEOID,"Geographic Identifier - fully concatenated geographic code (State FIPS, County FIPS, and Tract number)"
STATE,Census 2-digit FIPS State Code
COUNTY,Census 3-digit FIPS County Code
TRACT,Census 6-digit FIPS Tract Code
CNTY_FIPS,Census 5-digit FIPS County Code
STUSAB,Two letter State Abbreviation code
households,Number of households 
owner_occupied_hu,Number of owner occupied housing units 
renter_occupied_hu,Number of renter occupied housing units
avg_hh_size_owners,Average number of people in owner households
pct_renter_occupied_hu,Percent of households in renter-occupied housing units
pct_transit_j2w_renters,Percent of commuters living in rental households using transit for their journey to work
pct_transit_j2w_owners,Percent of commuters living in owner households using transit for their journey to work
pct_transit_j2w,Percent of commuters using transit for their journey to work
median_smoc_mortgage,Median selected monthly ownership costs 
median_gross_rent,Median gross rent
avg_h_cost,Average monthly housing cost
autos_per_hh_renters,Autos per household for renter households
autos_per_hh_owner,Autos per household for owner households
autos_per_hh,Autos per household 
avg_hh_size_renters,Average number of people in renter households
commuters_per_hh_owners,Average number of commuters per household in renter households
commuters_per_hh,Average number of commuters per household in owner households
commuters_per_hh_renters,Average number of commuters per household 
pct_renters,Percent of rental housing units
avg_hh_size,Average number of people per household
area_income_renter_frac,Fraction of area median household income for renters in this tract relative to the regional median household income
median_hh_income,Median household income
median_rooms_per_renter_hu,Median number of rooms in renter households
median_rooms_per_owner_hu,Median number of rooms in owner households 
median_rooms_per_hu,Median number of rooms per household
pct_hu_1_detached,Percent of single family detached housing units 
gross_hh_density,Number of households per land acre
area_income_owner_frac,Fraction of area median household income for owners in this tract relative to the regional median household income
area_income_frac,Fraction of area median household income in this tract relative to the regional median household income
area_median_hh_income,Regional median household income
block_density,Census blocks per acre
avg_block_acres,Average block size in acres
job_density_simple,Jobs per land acre simple
retail_density_simple,Retail jobs per land acre simple
job_gravity,Total jobs for every tract in the US divided by its distance from the centroid squared
retail_gravity,Retail jobs for every tract in the US divided by its distance from the centroid squared
median_commute,Median distance of commuters in the tracts using the centroid of the employment block
