Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1965","1965","tonnes","13141","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1970","1970","tonnes","11927","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1974","1974","tonnes","10717","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1978","1978","tonnes","16816","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1981","1981","tonnes","16167","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1985","1985","tonnes","18913","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1989","1989","tonnes","19314","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1993","1993","tonnes","20842","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","1997","1997","tonnes","21790","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2000","2000","tonnes","24343","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2004","2004","tonnes","27515","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2006","2006","tonnes","27570","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2008","2008","tonnes","28285","X","Ciffre de sources internationales","Données estimées en utilisant les données des pays partenaires"
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2010","2010","tonnes","27927","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2012","2012","tonnes","32857","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","21422","Amandes, écalées","2014","2014","tonnes","32789.36","A","Chiffre officiel",""
"TCL","Cultures et produits animaux","250","France","5610","Importations - Quantité","23140.07","Avoine laminée","1965","1965","tonnes","1008","A","Chiffre officiel",""
