Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1965,1965,tonnes,14794,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1970,1970,tonnes,31712,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1974,1974,tonnes,43841,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1978,1978,tonnes,46403,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1981,1981,tonnes,45871,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1985,1985,tonnes,67259,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1989,1989,tonnes,119873,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1993,1993,tonnes,161006,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",1997,1997,tonnes,149712,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2000,2000,tonnes,169464,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2004,2004,tonnes,135061,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2006,2006,tonnes,137252,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2008,2008,tonnes,127646,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2010,2010,tonnes,116252,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2012,2012,tonnes,105956,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21115,"Viande ovine, fraîche ou réfrigérée",2014,2014,tonnes,101573.44,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1965,1965,tonnes,47686,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1970,1970,tonnes,54379,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1974,1974,tonnes,104476,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1978,1978,tonnes,238899,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1981,1981,tonnes,216724,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1985,1985,tonnes,281156,A,Chiffre officiel,Total bœuf base,Coeff de redressement,,années
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1989,1989,tonnes,291301,A,Chiffre officiel,102711,"2,15390261292623",,1965
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1993,1993,tonnes,336757,A,Chiffre officiel,136130,"2,50335607495541",,1970
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",1997,1997,tonnes,170182,A,Chiffre officiel,181913,"1,7411941498526",,1974
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2000,2000,tonnes,174846,A,Chiffre officiel,373340,"1,56275246024471",,1978
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2004,2004,tonnes,135117,A,Chiffre officiel,324796,"1,49866189254536",,1981
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2006,2006,tonnes,142603,A,Chiffre officiel,397599,"1,41415797635476",,1985
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2008,2008,tonnes,122202,A,Chiffre officiel,416772,"1,43072629342158",,1989
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2010,2010,tonnes,115278,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2012,2012,tonnes,123837,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21111.01,"Viande, bovine, fraîche ou réfrigérée",2014,2014,tonnes,104581.48,A,Chiffre officiel,Total porc base,redressées,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1965,1965,tonnes,11,A,Chiffre officiel,89323,"41470,3057900322",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1970,1970,tonnes,5,A,Chiffre officiel,186412,"74464,8361713068",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1974,1974,tonnes,0,A,Chiffre officiel,193980,"111406,301253896",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1978,1978,tonnes,275,A,Chiffre officiel,228691,"146338,595406332",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1981,1981,tonnes,0,A,Chiffre officiel,251797,"168014,547679159",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1985,1985,tonnes,0,A,Chiffre officiel,328745,"232466,955953109",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1989,1989,tonnes,115,A,Chiffre officiel,339210,"237089,373110478",,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1993,1993,tonnes,340,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",1997,1997,tonnes,2229,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2000,2000,tonnes,968,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2004,2004,tonnes,1151,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2006,2006,tonnes,1145,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2008,2008,tonnes,1140,A,Chiffre officiel,,,,
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2010,2010,tonnes,769,A,Chiffre officiel,porc base,année,"Viande, porc, fraîche ou réfrigérée",rapport
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2012,2012,tonnes,849,A,Chiffre officiel,89323,1965,"25903,67","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21116,"Viande, caprin, fraîche ou réfrigérée",2014,2014,tonnes,895.05,A,Chiffre officiel,186412,1970,"54059,48","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1965,1965,tonnes,3766,A,Chiffre officiel,193980,1974,"56254,2","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1970,1970,tonnes,16757,A,Chiffre officiel,228691,1978,"66320,39","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1974,1974,tonnes,38788,A,Chiffre officiel,251797,1981,"73021,13","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1978,1978,tonnes,54310,A,Chiffre officiel,328745,1985,"95336,05","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1981,1981,tonnes,55103,A,Chiffre officiel,339210,1989,"98370,9","0,29"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1985,1985,tonnes,37280,A,Chiffre officiel,349328,1993,102876,"0,29449686254752"
TCL,Cultures et produits animaux,250,France,5610,Importations - Quantité,21118.01,"Viande, cheval, fraîche ou réfrigérée",1989,1989,tonnes,46896,A,Chiffre officiel,366950,1997,126378,"0,344401144570105"
