Variable,Description
CONTROL,Control number
TOTROOMS,Total number of rooms
PERPOVLVL,Household income as percent of poverty threshold (rounded)
COMTYPE,Flag indicating mode(s) of transportation used to commute to work
COMCOST,Total annual commuting cost
JACPRIMARY,Edit flag for ACPRIMARY
JACSECNDRY,Edit flag for ACSECNDRY
JADEQUACY,Edit flag for ADEQUACY
JBATHEXCLU,Edit flag for BATHEXCLU
JBATHROOMS,Edit flag for BATHROOMS
JBEDROOMS,Edit flag for BEDROOMS
JBIKE,Edit flag for BIKE
JBLD,Edit flag for BLD
JBUS,Edit flag for BUS
JCARPOOL,Edit flag for CARPOOL
JCELLPHONE,Edit flag for CELLPHONE
JCOLD,Edit flag for COLD
JCOLDCOST,Edit flag for COLDCOST
JCOLDEQ,Edit flag for COLDEQ
JCOLDEQFREQ,Edit flag for COLDEQFREQ
JCOLDHTCAP,Edit flag for COLDHTCAP
JCOLDINSUL,Edit flag for COLDINSUL
JCOLDOTHER,Edit flag for COLDOTHER
JCOLDUTIL,Edit flag for COLDUTIL
JCOMCOST,Edit flag for COMCOST
JCOMDAYS,Edit flag for COMDAYS
JCOMPANYCAR,Edit flag for COMPANYCAR
JCOMTYPE,Edit flag for COMTYPE
JCONDO,Edit flag for CONDO
JCOOKFUEL,Edit flag for COOKFUEL
JCOOKTYPE,Edit flag for COOKTYPE
JDBEVICLK,Edit flag for DBEVICLK
JDBEVICNOTE,Edit flag for DBEVICNOTE
JDBEVICTHT,Edit flag for DBEVICTHT
JDBEVICWHERE,Edit flag for DBEVICWHERE
JDBFORCWHR,Edit flag for DBFORCWHR
JDBLVEFORC,Edit flag for DBLVEFORC
JDBMISSMORT,Edit flag for DBMISSMORT
JDBMISSRENT,Edit flag for DBMISSRENT
JDBUTBILL,Edit flag for DBUTBILL
JDINING,Edit flag for DINING
JDISHH,Edit flag for DISHH
JDISHWASH,Edit flag for DISHWASH
JDIST,Edit flag for DIST
JDPALTCOM,Edit flag for DPALTCOM
JDPDRFOOD,Edit flag for DPDRFOOD
JDPEMWATER,Edit flag for DPEMWATER
JDPEVACPETS,Edit flag for DPEVACPETS
JDPEVFIN,Edit flag for DPEVFIN
JDPEVINFO,Edit flag for DPEVINFO
JDPEVKIT,Edit flag for DPEVKIT
JDPEVLOC,Edit flag for DPEVLOC
JDPEVSEP,Edit flag for DPEVSEP
JDPEVVEHIC,Edit flag for DPEVVEHIC
JDPFLDINS,Edit flag for DPFLDINS
JDPGENERT,Edit flag for DPGENERT
JDPGETINFO,Edit flag for DPGETINFO
JDPMAJDIS,Edit flag for DPMAJDIS
JDPSHELTR,Edit flag for DPSHELTR
JDRIVEALL,Edit flag for DRIVEALL
JDRIVEPART,Edit flag for DRIVEPART
JDRYER,Edit flag for DRYER
JDWNPAYPCT,Edit flag for DWNPAYPCT
JELECAMT,Edit flag for ELECAMT
JENTRYSYS,Edit flag for ENTRYSYS
JFERRY,Edit flag for FERRY
JFINCP,Edit flag for FINCP
JFINROOMS,Edit flag for FINROOMS
JFIREPLACE,Edit flag for FIREPLACE
JFIRSTHOME,Edit flag for FIRSTHOME
JFLOORHOLE,Edit flag for FLOORHOLE
JFNDCRUMB,Edit flag for FNDCRUMB
JFOUNDTYPE,Edit flag for FOUNDTYPE
JFRIDGE,Edit flag for FRIDGE
JFS,Edit flag for FS
JFUSEBLOW,Edit flag for FUSEBLOW
JGARAGE,Edit flag for GARAGE
JGASAMT,Edit flag for GASAMT
JGRANDHH,Edit flag for GRANDHH
JGUTREHB,Edit flag for GUTREHB
JHEATFUEL,Edit flag for HEATFUEL
JHEATTYPE,Edit flag for HEATTYPE
JHHADLTKIDS,Edit flag for HHADLTKIDS
JHHAGE,Edit flag for HHAGE
JHHCARE,Edit flag for HHCARE
JHHCITSHP,Edit flag for HHCITSHP
JHHENROLL,Edit flag for HHENROLL
JHHERRND,Edit flag for HHERRND
JHHGRAD,Edit flag for HHGRAD
JHHHEAR,Edit flag for HHHEAR
JHHINUSYR,Edit flag for HHINUSYR
JHHMAR,Edit flag for HHMAR
JHHMEMRY,Edit flag for HHMEMRY
JHHMOVE,Edit flag for HHMOVE
JHHNATVTY,Edit flag for HHNATVTY
JHHOLDKIDS,Edit flag for HHOLDKIDS
JHHRACE,Edit flag for HHRACE
JHHRACEAS,Edit flag for HHRACEAS
JHHRACEPI,Edit flag for HHRACEPI
JHHSEE,Edit flag for HHSEE
JHHSEX,Edit flag for HHSEX
JHHSPAN,Edit flag for HHSPAN
JHHWALK,Edit flag for HHWALK
JHHYNGKIDS,Edit flag for HHYNGKIDS
JHINCP,Edit flag for HINCP
JHMRACCESS,Edit flag for HMRACCESS
JHMRENEFF,Edit flag for HMRENEFF
JHMRSALE,Edit flag for HMRSALE
JHOA,Edit flag for HOA
JHOAAMT,Edit flag for HOAAMT
JHOTWATER,Edit flag for HOTWATER
JHOWBUY,Edit flag for HOWBUY
JHRATE,Edit flag for HRATE
JHSHLDTYPE,Edit flag for HSHLDTYPE
JHUDSUB,Edit flag for HUDSUB
JINSURAMT,Edit flag for INSURAMT
JKITCHENS,Edit flag for KITCHENS
JKITCHSINK,Edit flag for KITCHSINK
JKITEXCLU,Edit flag for KITEXCLU
JLAUNDY,Edit flag for LAUNDY
JLEADINSP,Edit flag for LEADINSP
JLEAKI,Edit flag for LEAKI
JLEAKIDK,Edit flag for LEAKIDK
JLEAKIOTH,Edit flag for LEAKIOTH
JLEAKIPIPE,Edit flag for LEAKIPIPE
JLEAKIPLUM,Edit flag for LEAKIPLUM
JLEAKIWATH,Edit flag for LEAKIWATH
JLEAKO,Edit flag for LEAKO
JLEAKOBASE,Edit flag for LEAKOBASE
JLEAKOOTH,Edit flag for LEAKOOTH
JLEAKOROOF,Edit flag for LEAKOROOF
JLEAKOWALL,Edit flag for LEAKOWALL
JLOTAMT,Edit flag for LOTAMT
JLOTSIZE,Edit flag for LOTSIZE
JMAINTAMT,Edit flag for MAINTAMT
JMARKETVAL,Edit flag for MARKETVAL
JMGRONSITE,Edit flag for MGRONSITE
JMHANCHOR,Edit flag for MHANCHOR
JMHMOVE,Edit flag for MHMOVE
JMHWIDE,Edit flag for MHWIDE
JMILHH,Edit flag for MILHH
JMOLDBASEM,Edit flag for MOLDBASEM
JMOLDBATH,Edit flag for MOLDBATH
JMOLDBEDRM,Edit flag for MOLDBEDRM
JMOLDKITCH,Edit flag for MOLDKITCH
JMOLDLROOM,Edit flag for MOLDLROOM
JMOLDOTHER,Edit flag for MOLDOTHER
JMONLSTOCC,Edit flag for MONLSTOCC
JMONOXIDE,Edit flag for MONOXIDE
JMORTAMT,Edit flag for MORTAMT
JMOVFORCE,Edit flag for MOVFORCE
JMOVWHY,Edit flag for MOVWHY
JMULTIGEN,Edit flag for MULTIGEN
JMVG1COST,Edit flag for MVG1COST
JMVG1LOC,Edit flag for MVG1LOC
JMVG1PER,Edit flag for MVG1PER
JMVG1STAT,Edit flag for MVG1STAT
JMVG1TEN,Edit flag for MVG1TEN
JMVG1TYPE,Edit flag for MVG1TYPE
JMVG2COST,Edit flag for MVG2COST
JMVG2LOC,Edit flag for MVG2LOC
JMVG2PER,Edit flag for MVG2PER
JMVG2STAT,Edit flag for MVG2STAT
JMVG2TEN,Edit flag for MVG2TEN
JMVG2TYPE,Edit flag for MVG2TYPE
JMVG3COST,Edit flag for MVG3COST
JMVG3LOC,Edit flag for MVG3LOC
JMVG3PER,Edit flag for MVG3PER
JMVG3STAT,Edit flag for MVG3STAT
JMVG3TEN,Edit flag for MVG3TEN
JMVG3TYPE,Edit flag for MVG3TYPE
JNEARABAND,Edit flag for NEARABAND
JNEARBARCL,Edit flag for NEARBARCL
JNEARTRASH,Edit flag for NEARTRASH
JNHQPCRIME,Edit flag for NHQPCRIME
JNHQPUBTRN,Edit flag for NHQPUBTRN
JNHQRISK,Edit flag for NHQRISK
JNHQSCHOOL,Edit flag for NHQSCHOOL
JNHQSCRIME,Edit flag for NHQSCRIME
JNORC,Edit flag for NORC
JNOSTEP,Edit flag for NOSTEP
JNOTOIL,Edit flag for NOTOIL
JNOTOILFREQ,Edit flag for NOTOILFREQ
JNOWAT,Edit flag for NOWAT
JNOWATFREQ,Edit flag for NOWATFREQ
JNOWIRE,Edit flag for NOWIRE
JNRATE,Edit flag for NRATE
JNUMADULTS,Edit flag for NUMADULTS
JNUMCARE,Edit flag for NUMCARE
JNUMELDERS,Edit flag for NUMELDERS
