Dependency,Version,License,License - Version,URL,Notes
gpxpy,1.5.0,"Apache License, Version 2.0",Apache 2.0,https://github.com/tkrajina/gpxpy,
backports.zoneinfo,0.2.1,Apache Software License,Apache 2.0,https://github.com/pganssle/zoneinfo,
bleach,5.0.1,Apache Software License,Apache 2.0,https://github.com/mozilla/bleach,
importlib-metadata,4.12.0,Apache Software License,Apache 2.0,https://github.com/python/importlib_metadata,
importlib-resources,5.8.0,Apache Software License,Apache 2.0,https://github.com/python/importlib_resources,
json5,0.9.8,Apache Software License,Apache 2.0,https://github.com/dpranke/pyjson5,
lerc,0.1.0,Apache Software License,Apache 2.0,https://github.com/Esri/lerc,
prometheus-client,0.14.1,Apache Software License,Apache 2.0,https://github.com/prometheus/client_python,
pytz-deprecation-shim,0.1.0.post0,Apache Software License,Apache 2.0,https://github.com/pganssle/pytz-deprecation-shim,
regex,2022.3.2,Apache Software License,Apache 2.0,https://github.com/mrabarnett/mrab-regex,
requests,2.28.0,Apache Software License,Apache 2.0,https://requests.readthedocs.io,
requests-toolbelt,0.9.1,Apache Software License,Apache 2.0,https://toolbelt.readthedocs.org,
tornado,6.2,Apache Software License,Apache 2.0,http://www.tornadoweb.org/,
tzdata,2022.1,Apache Software License,Apache 2.0,https://github.com/python/tzdata,
websocket-client,1.3.3,Apache Software License,Apache 2.0,https://github.com/websocket-client/websocket-client.git,
cryptography,37.0.4,Apache Software License; BSD License,Apache 2.0 & BSD 3,https://github.com/pyca/cryptography,
packaging,21.3,Apache Software License; BSD License,Apache 2.0 & BSD 2,https://github.com/pypa/packaging,
python-dateutil,2.8.2,Apache Software License; BSD License,Apache 2.0 & BSD 3,https://github.com/dateutil/dateutil,"The above BSD License Applies to all code, even that also covered by Apache 2.0."
sniffio,1.2.0,Apache Software License; MIT License,Apache 2.0 & MIT,https://github.com/python-trio/sniffio,
jupyterlab-pygments,0.2.2,BSD,BSD-3,https://github.com/jupyterlab/jupyterlab_pygments,
matplotlib-inline,0.1.3,BSD 3-Clause,BSD-3,https://github.com/ipython/matplotlib-inline,
Babel,2.10.3,BSD License,BSD-3,https://babel.pocoo.org/,
Jinja2,3.1.2,BSD License,BSD-3,https://palletsprojects.com/p/jinja/,
MarkupSafe,2.1.1,BSD License,BSD-3,https://palletsprojects.com/p/markupsafe/,
Pygments,2.12.0,BSD License,BSD-2,https://pygments.org/,
Send2Trash,1.8.0,BSD License,BSD-3,https://github.com/arsenetar/send2trash,
appnope,0.1.3,BSD License,BSD-2,http://github.com/minrk/appnope,
backcall,0.2.0,BSD License,BSD-3,https://github.com/takluyver/backcall,
cycler,0.11.0,BSD License,BSD-3,https://github.com/matplotlib/cycler,
dateparser,1.1.1,BSD License,BSD-3,https://github.com/scrapinghub/dateparser,
decorator,5.1.1,BSD License,BSD-2,https://github.com/micheles/decorator,
fastjsonschema,2.15.3,BSD License,BSD-3,https://github.com/seznam/python-fastjsonschema,
idna,3.3,BSD License,BSD-3,https://github.com/kjd/idna,
ipykernel,6.15.0,BSD License,BSD-3,UNKNOWN,
ipython,7.34.0,BSD License,BSD-3,https://ipython.org,
ipython-genutils,0.2.0,BSD License,BSD-3,http://ipython.org,
ipywidgets,7.7.1,BSD License,BSD-3,http://ipython.org,
jupyter-client,7.3.4,BSD License,BSD-3,UNKNOWN,
jupyter-core,4.10.0,BSD License,BSD-3,https://jupyter.org,
jupyter-server,1.18.1,BSD License,BSD-3,https://jupyter-server.readthedocs.io,
jupyterlab,3.4.3,BSD License,BSD-3,https://jupyter.org,
jupyterlab-server,2.15.0,BSD License,BSD-3,UNKNOWN,
jupyterlab-widgets,1.1.1,BSD License,BSD-3,https://github.com/jupyter-widgets/ipywidgets,
kiwisolver,1.4.3,BSD License,BSD-3,UNKNOWN,
mistune,0.8.4,BSD License,BSD-3,https://github.com/lepture/mistune,
nbclassic,0.4.0,BSD License,BSD-3,http://jupyter.org,
nbclient,0.6.6,BSD License,BSD-3,https://jupyter.org,
nbconvert,6.5.0,BSD License,BSD-3,https://jupyter.org,
nbformat,5.4.0,BSD License,BSD-3,http://jupyter.org,
nest-asyncio,1.5.5,BSD License,BSD-2,https://github.com/erdewit/nest_asyncio,
notebook,6.4.12,BSD License,BSD-3,http://jupyter.org,
notebook-shim,0.1.0,BSD License,BSD-3,https://github.com/jupyterlab/notebook_shim,
numpy,1.21.6,BSD License,BSD-3,https://www.numpy.org,
oauthlib,3.2.0,BSD License,BSD-3,https://github.com/oauthlib/oauthlib,
pandas,1.3.5,BSD License,BSD-3,https://pandas.pydata.org,
pandocfilters,1.5.0,BSD License,BSD-3,http://github.com/jgm/pandocfilters,
prompt-toolkit,3.0.30,BSD License,BSD-3,https://github.com/prompt-toolkit/python-prompt-toolkit,
psutil,5.9.1,BSD License,BSD-3,https://github.com/giampaolo/psutil,
pycparser,2.21,BSD License,BSD-3,https://github.com/eliben/pycparser,
requests-oauthlib,1.3.1,ISC License (ISCL),,https://github.com/requests/requests-oauthlib,
terminado,0.15.0,BSD License,BSD-2,UNKNOWN,
tinycss2,1.1.1,BSD License,BSD-3,UNKNOWN,
traitlets,5.3.0,BSD License,BSD-3,UNKNOWN,
webencodings,0.5.1,BSD License,BSD-3,https://github.com/SimonSapin/python-webencodings,
widgetsnbextension,3.6.1,BSD License,BSD-3,http://ipython.org,
pyzmq,23.2.0,BSD License; GNU Library or Lesser General Public License (LGPL),,https://pyzmq.readthedocs.org,
debugpy,1.6.0,Eclipse Public License 2.0 (EPL-2.0); MIT License,,https://aka.ms/debugpy,
Pillow,9.2.0,Historical Permission Notice and Disclaimer (HPND),,https://python-pillow.org,
pexpect,4.8.0,ISC License (ISCL),,https://pexpect.readthedocs.io/,
ptyprocess,0.7.0,ISC License (ISCL),,https://github.com/pexpect/ptyprocess,
requests-ntlm,1.1.0,ISC License (ISCL),,https://github.com/requests/requests-ntlm,
pyshp,2.3.0,MIT,,https://github.com/GeospatialPython/pyshp,
anyio,3.6.1,MIT License,,UNKNOWN,
