model_name,metric_name,score,Model,Index
RASA,Jaccard,1.0,RASA,1
RASA,ROUGE_rouge1,1.0,RASA,1
RASA,ROUGE_rouge2,1.0,RASA,1
RASA,ROUGE_rougeL,1.0,RASA,1
RASA,Jaccard,1.0,RASA,2
RASA,ROUGE_rouge1,1.0,RASA,2
RASA,ROUGE_rouge2,1.0,RASA,2
RASA,ROUGE_rougeL,1.0,RASA,2
RASA,Jaccard,1.0,RASA,3
RASA,ROUGE_rouge1,1.0,RASA,3
RASA,ROUGE_rouge2,1.0,RASA,3
RASA,ROUGE_rougeL,1.0,RASA,3
RASA,Jaccard,1.0,RASA,4
RASA,ROUGE_rouge1,1.0,RASA,4
RASA,ROUGE_rouge2,1.0,RASA,4
RASA,ROUGE_rougeL,1.0,RASA,4
RASA,Jaccard,1.0,RASA,5
RASA,ROUGE_rouge1,1.0,RASA,5
RASA,ROUGE_rouge2,1.0,RASA,5
RASA,ROUGE_rougeL,1.0,RASA,5
RASA,Jaccard,1.0,RASA,6
RASA,ROUGE_rouge1,1.0,RASA,6
RASA,ROUGE_rouge2,1.0,RASA,6
RASA,ROUGE_rougeL,1.0,RASA,6
RASA,Jaccard,1.0,RASA,7
RASA,ROUGE_rouge1,1.0,RASA,7
RASA,ROUGE_rouge2,1.0,RASA,7
RASA,ROUGE_rougeL,1.0,RASA,7
RASA,Jaccard,1.0,RASA,8
RASA,ROUGE_rouge1,1.0,RASA,8
RASA,ROUGE_rouge2,1.0,RASA,8
RASA,ROUGE_rougeL,1.0,RASA,8
RASA,Jaccard,1.0,RASA,9
RASA,ROUGE_rouge1,1.0,RASA,9
RASA,ROUGE_rouge2,1.0,RASA,9
RASA,ROUGE_rougeL,1.0,RASA,9
RASA,Jaccard,1.0,RASA,10
RASA,ROUGE_rouge1,1.0,RASA,10
RASA,ROUGE_rouge2,1.0,RASA,10
RASA,ROUGE_rougeL,1.0,RASA,10
RASA,Jaccard,1.0,RASA,11
RASA,ROUGE_rouge1,1.0,RASA,11
RASA,ROUGE_rouge2,1.0,RASA,11
RASA,ROUGE_rougeL,1.0,RASA,11
RASA,Jaccard,1.0,RASA,12
RASA,ROUGE_rouge1,1.0,RASA,12
RASA,ROUGE_rouge2,1.0,RASA,12
